Title,Team1,Score1,Team2,Score2
"1992 World Series
  6 Game Series","Atlanta Braves
[2 - 4 in Series Play]",2,"Toronto Blue Jays
[1 - 0 in Series Play]",4
"1993 World Series
  6 Game Series","Philadelphia Phillies
[1 - 4 in Series Play]",2,"Toronto Blue Jays
[2 - 0 in Series Play]",4
"1994 World Series
  x Game Series","No Series (Strike Year)
  [x - x in Series Play]",--,"No Series (Strike Year)
  [x - x in Series Play]",--
"1995 World Series
  6 Game Series","Atlanta Braves
[3 - 4 in Series Play]",4,"Cleveland Indians
[2 - 2 in Series Play]",2
"1996 World Series
  6 Game Series","Atlanta Braves
[3 - 5 in Series Play]",2,"New York Yankees
[23 - 11 in Series Play]",4
"1997 World Series
  7 Game Series","Florida Marlins
[1 - 0 in Series Play]",4,"Cleveland Indians
[2 - 3 in Series Play]",3
"1998 World Series
  4 Game Series","San Diego Padres
[0 - 2 in Series Play]",0,"New York Yankees
[24 - 11 in Series Play]",4
"1999 World Series
  4 Game Series","Atlanta Braves
[3 - 6 in Series Play]",0,"New York Yankees
[25 - 11 in Series Play]",4
"2000 World Series
  5 Game Series","New York Mets
[2 - 2 in Series Play]",1,"New York Yankees
[26 - 11 in Series Play]",4
"2001 World Series
  7 Game Series","Arizona Diamondbacks
[1 - 0 in Series Play]",4,"New York Yankees
[26 - 12 in Series Play]",3
"2002 World Series
  7 Game Series","San Francisco Giants
[5 - 12 in Series Play]",3,"Anaheim Angels
[1 - 0 in Series Play]",4
"2003 World Series
  6 Game Series","Florida Marlins
[2 - 0 in Series Play]",4,"New York Yankees
[26 - 13 in Series Play]",2
"2004 World Series
  4 Game Series","St. Louis Cardinals
[9 - 7 in Series Play]",0,"Boston Red Sox
[6 - 4 in Series Play]",4
"2005 World Series
  4 Game Series","Houston Astros
[0 - 1 in Series Play]",0,"Chicago White Sox
[3 - 2 in Series Play]",4
"2006 World Series
  5 Game Series","St. Louis Cardinals
[10 - 7 in Series Play]",4,"Detroit Tigers
[4 - 6 in Series Play]",1
"2007 World Series
  4 Game Series","Colorado Rockies
[0 - 1 in Series Play]",0,"Boston Red Sox
[7 - 4 in Series Play]",4
"2008 World Series
  5 Game Series","Philadelphia Phillies
[2 - 4 in Series Play]",4,"Tampa Bay Rays
[0 - 1 in Series Play]",1
"2009 World Series
  6 Game Series","Philadelphia Phillies
[2 - 5 in Series Play]",2,"New York Yankees
[27 - 13 in Series Play]",4
"2010 World Series
  5 Game Series","San Francisco Giants
[6 - 12 in Series Play]",4,"Texas Rangers
[0 - 1 in Series Play]",1
"2011 World Series
  7 Game Series","St. Louis Cardinals
[11 - 7 in Series Play]",4,"Texas Rangers
[0 - 2 in Series Play]",3
"2012 World Series
  4 Game Series","San Francisco Giants
[7 - 12 in Series Play]",4,"Detroit Tigers
[4 - 7 in Series Play]",0
"2013 World Series
  6 Game Series","St. Louis Cardinals
[11 - 8 in Series Play]",2,"Boston Red Sox
[8 - 4 in Series Play]",4
"2014 World Series
  7 Game Series","San Francisco Giants
[8 - 12 in Series Play]",4,"Kansas City Royals
[1 - 2 in Series Play]",3
"2015 World Series
  5 Game Series","New York Mets
[2 - 3 in Series Play]",1,"Kansas City Royals
[2 - 2 in Series Play]",4
"2016 World Series
  7 Game Series","Chicago Cubs
[3 - 8 in Series Play]",4,"Cleveland Indians
[2 - 4 in Series Play]",3
"2017 World Series
  7 Game Series","Los Angeles Dodgers
[6 - 13 in Series Play]",3,"Houston Astros
[1 - 1 in Series Play]",4
"2018 World Series
  5 Game Series","Los Angeles Dodgers
[6 - 14 in Series Play]",1,"Boston Red Sox
[9 - 4 in Series Play]",4
"2019 World Series
  7 Game Series","Washington Nationals
[1 - 0 in Series Play]",4,"Houston Astros
[1 - 2 in Series Play]",3
"2020 World Series
  6 Game Series","Los Angeles Dodgers
[7 - 14 in Series Play]",4,"Tampa Bay Rays
[0 - 2 in Series Play]",2
"2021 World Series
  6 Game Series","Atlanta Braves
[4 - 6 in Series Play]",4,"Houston Astros
[1 - 3 in Series Play]",2
"2022 World Series
  6 Game Series","Philadelphia Phillies
[2 - 6 in Series Play]",2,"Houston Astros
[2 - 3 in Series Play]",4
"2023 World Series
  5 Game Series","Arizona Diamondbacks
[1 - 1 in Series Play]",1,"Texas Rangers
[1- 2 in Series Play]",4
"2024 World Series
  5 Game Series","Los Angeles Dodgers
[8 - 14 in Series Play]",4,"New York Yankees
[27 - 14 in Series Play]",1
"2025 World Series
  x Game Series","To Be Determined
[x - x in Series Play]",x,"To Be Determined
[x - x in Series Play]",x
World Series,National League,Wins,American League,Wins
